Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,70,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,32,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
"Alfalfa + Orchardgrass, for hay","Medicago sativa, Dactylis glomerata","MESA, DAGL","N,P",Aboveground biomass,Forage,ton,2000,9.7,2.479714286,0.267857143,#DIV/0!,"2,000",,,,,,,,,,,,,,,,89.6,91.2,91.4,89,,,,,,,,,,,,,,,90.3,2.592,2.544,2.64,,,,,,,,,2.142857143,,,,,,,,,,,,,,,,,,,,,,0.267857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,15.9,16.5,,,,,,,,,,,,,,,,1.92,0.24,,,,,,,,,
"Alfalfa + Orchardgrass, for hay (cut 1)","Medicago sativa, Dactylis glomerata","MESA, DAGL","N,P,K",Aboveground biomass,Forage,ton,2000,7.95,2.144,0.2,1.49,"2,000",,,,,,,,,,,,,,,,,92.9,91.2,,,,,,,,,,,,,,,,92.05,1.696,2.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa + Smooth Brome, for green chop","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,77.63,3.322074074,0.310555556,2.8,"2,000",,,,,,,,,,,,,,,,22.5,21.6,,23,,,,,,,,,,,,,,,22.37,3.136,,3.408,,,,,,,,,3.422222222,,,,,,,,,,,,,,,,,,,,,,0.311111111,,,0.31,,,,,,,,,,,,,,,,,,,,,2.8,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,21.3,,,,,,,,,,,,,,,,0.77,0.07,,,,,0.63,,,,
"Alfalfa + Smooth Brome, for hay","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,11.58,2.41770852,0.271053812,1.897746637,"2,000",,,,,,,,,,,,,,,,89.2,82.5,91,91,,,,,,,,,,,,,,,88.42,2.592,2.48,2.48,,,,,,,,,2.118834081,,,,,,,,,,,,,,,,,,,,,,0.224215247,0.3,0.28,0.28,,,,,,,,,,,,,,,,,,,,,1.860986547,1.85,1.94,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,15.5,15.5,,,,,,,,,,,,,,,,1.89,0.2,,,,,1.66,,,,
"Alfalfa + Smooth Brome, for hay (cut 1)","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,10.1,2.192,0.295,1.4,"2,000",,,,,,,,,,,,,,,,,89.9,89.9,,,,,,,,,,,,,,,,89.9,2.192,2.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa + Smooth Brome, for hay (cut 2)","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P",Aboveground biomass,Forage,ton,2000,10.2,2.192,0.21,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,89.8,89.8,,,,,,,,,,,,,,,,89.8,2.192,2.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa + Timothy, for green chop (50% alfalfa)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,78.08,3.364748858,0.368824201,2.239360731,"2,000",,,,,,,,,,,,,,,,21.9,21.9,21.9,22,,,,,,,,,,,,,,,21.93,3.36,3.36,3.36,,,,,,,,,3.378995434,,,,,,,,,,,,,,,,,,,,,,0.365296804,0.37,0.37,0.37,,,,,,,,,,,,,,,,,,,,,2.237442922,2.24,2.24,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,,,,,,,,,,,,,,,,0.74,0.08,,,,,0.49,,,,
"Alfalfa + Timothy, for hay","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,10.37,2.172886905,0.211071429,2.16,"2,000",,,,,,,,,,,,,,,,89.6,89,90.3,,,,,,,,,,,,,,,,89.63,2.192,2.128,,,,,,,,,,2.198660714,,,,,,,,,,,,,,,,,,,,,,0.223214286,0.2,0.21,,,,,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.3,,,,,,,,,,,,,,,,,1.97,0.2,,,,,,,,,
"Alfalfa + Timothy, for hay (cut 1)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P",Aboveground biomass,Forage,ton,2000,9.8,1.792,0.14,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,90.2,90.2,,,,,,,,,,,,,,,,90.2,1.792,1.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa + Timothy, for hay (cut 2)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P",Aboveground biomass,Forage,ton,2000,9,2.8,0.21,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,91,91,,,,,,,,,,,,,,,,91,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.5,3.206196721,0.27897541,2.608032787,"2,000",,,,,,,,,,,,,,,,24.4,25.9,23.7,20,,,,,,,,,,,,,,,23.5,3.504,3.008,3.28,,,,,,,,,3.032786885,,,,,,,,,,,,,,,,,,,,,,0.245901639,0.28,0.31,0.28,,,,,,,,,,,,,,,,,,,,,2.172131148,2.1,2.98,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,18.8,20.5,,,,,,,,,,,,,,,,0.74,0.06,,,,,0.53,,,,
"Alfalfa, for green chop (early bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.18,3.351777778,0.292777778,2.717777778,"2,000",,,,,,,,,,,,,,,,22.5,23.9,23.7,24,,,,,,,,25,,,,,,,23.82,3.104,3.616,3.6,,,,,,,,,3.288888889,3.15,,,,,,,,,,,,,,,,,,,,,0.311111111,0.31,0.27,0.28,,,,,,,,,,,,,,,,,,,,,1.911111111,1.92,3.4,3.64,,,,,,,,,,,,,,,,,,,75,,,,,,,19.4,22.6,22.5,,,,,,,,,,,,,,,,0.74,0.07,,,,,0.43,,,,
