ScientificName,NuContAvailable,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,AvDryMatter%
Quercus sp.,"N,P,K",Tree and fruit,lb of fruit,1,27.9,1.364771151,0.109570042,0.747572816,1,,,,72.1
"Medicago sativa, Dactylis glomerata","N,P",Forage,ton,2000,9.7,2.479714286,0.267857143,#DIV/0!,"2,000",89.6,91.2,91.4,90.3
"Medicago sativa, Dactylis glomerata","N,P,K",Forage,ton,2000,7.95,2.144,0.2,1.49,"2,000",,92.9,91.2,92.05
"Medicago sativa, Bromus inermis","N,P,K",Forage,ton,2000,77.63,3.322074074,0.310555556,2.8,"2,000",22.5,21.6,,22.37
"Medicago sativa, Bromus inermis","N,P,K",Forage,ton,2000,11.58,2.41770852,0.271053812,1.897746637,"2,000",89.2,82.5,91,88.42
"Medicago sativa, Bromus inermis","N,P,K",Forage,ton,2000,10.1,2.192,0.295,1.4,"2,000",,89.9,89.9,89.9
"Medicago sativa, Bromus inermis","N,P",Forage,ton,2000,10.2,2.192,0.21,#DIV/0!,"2,000",,89.8,89.8,89.8
"Medicago sativa, Phleum pratense","N,P,K",Forage,ton,2000,78.08,3.364748858,0.368824201,2.239360731,"2,000",21.9,21.9,21.9,21.93
"Medicago sativa, Phleum pratense","N,P,K",Forage,ton,2000,10.37,2.172886905,0.211071429,2.16,"2,000",89.6,89,90.3,89.63
"Medicago sativa, Phleum pratense","N,P",Forage,ton,2000,9.8,1.792,0.14,#DIV/0!,"2,000",,90.2,90.2,90.2
"Medicago sativa, Phleum pratense","N,P",Forage,ton,2000,9,2.8,0.21,#DIV/0!,"2,000",,91,91,91
Medicago sativa,"N,P,K",Forage,ton,2000,76.5,3.206196721,0.27897541,2.608032787,"2,000",24.4,25.9,23.7,23.5
Medicago sativa,"N,P,K",Forage,ton,2000,76.18,3.351777778,0.292777778,2.717777778,"2,000",22.5,23.9,23.7,23.82
Medicago sativa,"N,P,K",Forage,ton,2000,76.1,2.952,0.31,3.1,"2,000",,24.3,23.5,23.9
Medicago sativa,"N,P,K",Forage,ton,2000,74.6,2.864,0.38,2.95,"2,000",,25.4,,25.4
Medicago sativa,N,Forage,ton,2000,74.35,3.288,#DIV/0!,#DIV/0!,"2,000",,23,28.3,25.65
Medicago sativa,"N,P,K",Forage,ton,2000,75.05,2.796419204,0.270739477,2.890978261,"2,000",25.3,24.7,27.9,24.95
Medicago sativa,"N,P,K",Forage,ton,2000,75.3,2.528,0.4,2.88,"2,000",,24.7,24.7,24.7
Medicago sativa,N,Forage,ton,2000,71.4,2.256,#DIV/0!,#DIV/0!,"2,000",,26.7,30.5,28.6
Medicago sativa,N,Forage,ton,2000,71.2,2.208,#DIV/0!,#DIV/0!,"2,000",,,28.8,28.8
Medicago sativa,"N,P,K",Forage,ton,2000,75.08,3.158580237,0.29166996,2.713478261,"2,000",25.3,24.2,26.1,24.92
Medicago sativa,N,Forage,ton,2000,77.9,2.496,#DIV/0!,#DIV/0!,"2,000",,22.1,,22.1
Medicago sativa,"P,K",Forage,ton,2000,76.8,#DIV/0!,0.43,3.25,"2,000",,23.2,,23.2
Medicago sativa,"N,P,K",Forage,ton,2000,78.34,3.487117588,0.343919598,2.267952261,"2,000",19.9,20.9,22.5,21.66
Medicago sativa,"N,P,K",Forage,ton,2000,82.9,3.488,0.39,3.4,"2,000",,17.1,17.1,17.1
Medicago sativa,"N,P,K",Forage,ton,2000,76.95,3.376,0.375,3.39,"2,000",,23.1,23,23.05
Medicago sativa,N,Forage,ton,2000,76.8,3.92,#DIV/0!,#DIV/0!,"2,000",,23.2,23.2,23.2
Medicago sativa,"N,P,K",Forage,ton,2000,9.65,2.78879558,0.261298343,2.119198895,"2,000",90.5,91.4,89.5,90.35
Medicago sativa,"N,P,K",Forage,ton,2000,9.9,2.616,0.35,2.48,"2,000",,89.4,90.8,90.1
Medicago sativa,"N,P,K",Forage,ton,2000,9.35,2.856,0.285,1.92,"2,000",,89.9,91.4,90.65
Medicago sativa,"N,P,K",Forage,ton,2000,10.3,2.968,0.19,2.47,"2,000",,89.3,90.1,89.7
Medicago sativa,"N,P,K",Forage,ton,2000,10.58,3.054446409,0.228798343,2.344198895,"2,000",90.5,90.1,90.5,89.42
Medicago sativa,"N,P,K",Forage,ton,2000,9.3,2.736,0.255,2.465,"2,000",,90.2,91.2,90.7
Medicago sativa,"N,P,K",Forage,ton,2000,12,3.168,0.255,2.54,"2,000",,87,89,88
Medicago sativa,"N,P,K",Forage,ton,2000,12.95,3.248,0.27,2.84,"2,000",,85.9,88.2,87.05
Medicago sativa,"N,P,K",Forage,ton,2000,11.12,2.618647514,0.238273481,1.764198895,"2,000",90.5,87.6,90.3,88.88
Medicago sativa,"N,P,K",Forage,ton,2000,15.25,2.392,0.22,1.99,"2,000",,83.1,86.4,84.75
Medicago sativa,N,Forage,ton,2000,12.7,2.592,#DIV/0!,#DIV/0!,"2,000",,85.6,89,87.3
Medicago sativa,N,Forage,ton,2000,12.35,1.96,#DIV/0!,#DIV/0!,"2,000",,87.6,87.7,87.65
Medicago sativa,"N,P,K",Forage,ton,2000,10.76,2.805646409,0.251298343,1.779198895,"2,000",90.5,89.5,90.2,89.24
Medicago sativa,"N,P",Forage,ton,2000,11.05,2.424,0.25,#DIV/0!,"2,000",,87.8,90.1,88.95
Medicago sativa,"N,P,K",Forage,ton,2000,9.2,2.736,0.31,3.25,"2,000",,90.5,91.1,90.8
Medicago sativa,N,Forage,ton,2000,11.6,3.008,#DIV/0!,#DIV/0!,"2,000",,,88.4,88.4
